S;k;time
34;0;0.000004
34;1;0.000005
34;2;0.000005
34;3;0.000005
34;4;0.000007
34;5;0.000007
34;6;0.000008
34;7;0.000007
34;8;0.000006
34;9;0.000007
34;10;0.000007
34;11;0.000009
34;12;0.000008
34;13;0.000008
34;14;0.000008
34;15;0.000008
34;16;0.000008
34;17;0.000010
34;18;0.000009
34;19;0.000010
35;0;0.000004
35;1;0.000006
35;2;0.000005
35;3;0.000005
35;4;0.000006
35;5;0.000006
35;6;0.000007
35;7;0.000007
35;8;0.000008
35;9;0.000007
35;10;0.000007
35;11;0.000008
35;12;0.000008
35;13;0.000009
35;14;0.000008
35;15;0.000009
35;16;0.000009
35;17;0.000009
35;18;0.000008
35;19;0.000009
36;0;0.000004
36;1;0.000005
36;2;0.000006
36;3;0.000006
36;4;0.000006
36;5;0.000007
36;6;0.000006
36;7;0.000007
36;8;0.000007
36;9;0.000009
36;10;0.000008
36;11;0.000007
36;12;0.000008
36;13;0.000008
36;14;0.000009
36;15;0.000009
36;16;0.000009
36;17;0.000009
36;18;0.000009
36;19;0.000009
37;0;0.000005
37;1;0.000006
37;2;0.000005
37;3;0.000007
37;4;0.000006
37;5;0.000007
37;6;0.000007
37;7;0.000007
37;8;0.000008
37;9;0.000008
37;10;0.000008
37;11;0.000008
37;12;0.000009
37;13;0.000009
37;14;0.000009
37;15;0.000008
37;16;0.000009
37;17;0.000010
37;18;0.000010
37;19;0.000011
38;0;0.000004
38;1;0.000006
38;2;0.000006
38;3;0.000006
38;4;0.000007
38;5;0.000007
38;6;0.000008
38;7;0.000008
38;8;0.000008
38;9;0.000008
38;10;0.000008
38;11;0.000009
38;12;0.000009
38;13;0.000010
38;14;0.000009
38;15;0.000009
38;16;0.000009
38;17;0.000010
38;18;0.000009
38;19;0.000011
39;0;0.000006
39;1;0.000006
39;2;0.000006
39;3;0.000007
39;4;0.000007
39;5;0.000007
39;6;0.000008
39;7;0.000009
39;8;0.000007
39;9;0.000008
39;10;0.000009
39;11;0.000009
39;12;0.000009
39;13;0.000009
39;14;0.000010
39;15;0.000009
39;16;0.000010
39;17;0.000009
39;18;0.000009
39;19;0.000010
40;0;0.000005
40;1;0.000007
40;2;0.000006
40;3;0.000006
40;4;0.000007
40;5;0.000007
40;6;0.000008
40;7;0.000008
40;8;0.000009
40;9;0.000008
40;10;0.000009
40;11;0.000008
40;12;0.000009
40;13;0.000008
40;14;0.000009
40;15;0.000010
40;16;0.000010
40;17;0.000011
40;18;0.000010
40;19;0.000011
41;0;0.000005
41;1;0.000006
41;2;0.000007
41;3;0.000007
41;4;0.000008
41;5;0.000008
41;6;0.000008
41;7;0.000008
41;8;0.000008
41;9;0.000009
41;10;0.000009
41;11;0.000010
41;12;0.000008
41;13;0.000009
41;14;0.000009
41;15;0.000010
41;16;0.000010
41;17;0.000010
41;18;0.000011
41;19;0.000010
42;0;0.000005
42;1;0.000006
42;2;0.000007
42;3;0.000007
42;4;0.000007
42;5;0.000008
42;6;0.000008
42;7;0.000009
42;8;0.000008
42;9;0.000008
42;10;0.000009
42;11;0.000009
42;12;0.000010
42;13;0.000009
42;14;0.000010
42;15;0.000010
42;16;0.000010
42;17;0.000010
42;18;0.000011
42;19;0.000012
43;0;0.000005
43;1;0.000006
43;2;0.000007
43;3;0.000007
43;4;0.000007
43;5;0.000007
43;6;0.000009
43;7;0.000008
43;8;0.000009
43;9;0.000009
43;10;0.000009
43;11;0.000009
43;12;0.000009
43;13;0.000010
43;14;0.000010
43;15;0.000011
43;16;0.000010
43;17;0.000012
43;18;0.000012
43;19;0.000011
44;0;0.000006
44;1;0.000006
44;2;0.000006
44;3;0.000007
44;4;0.000007
44;5;0.000009
44;6;0.000009
44;7;0.000010
44;8;0.000009
44;9;0.000009
44;10;0.000009
44;11;0.000009
44;12;0.000013
44;13;0.000010
44;14;0.000011
44;15;0.000010
44;16;0.000010
44;17;0.000011
44;18;0.000011
44;19;0.000011
45;0;0.000005
45;1;0.000007
45;2;0.000007
45;3;0.000007
45;4;0.000008
45;5;0.000008
45;6;0.000009
45;7;0.000009
45;8;0.000010
45;9;0.000009
45;10;0.000009
45;11;0.000009
45;12;0.000010
45;13;0.000010
45;14;0.000010
45;15;0.000011
45;16;0.000011
45;17;0.000012
45;18;0.000011
45;19;0.000011
46;0;0.000006
46;1;0.000007
46;2;0.000007
46;3;0.000007
46;4;0.000009
46;5;0.000009
46;6;0.000009
46;7;0.000009
46;8;0.000009
46;9;0.000010
46;10;0.000010
46;11;0.000010
46;12;0.000010
46;13;0.000010
46;14;0.000010
46;15;0.000011
46;16;0.000012
46;17;0.000011
46;18;0.000012
46;19;0.000012
47;0;0.000006
47;1;0.000007
47;2;0.000007
47;3;0.000008
47;4;0.000008
47;5;0.000009
47;6;0.000008
47;7;0.000009
47;8;0.000009
47;9;0.000009
47;10;0.000010
47;11;0.000010
47;12;0.000011
47;13;0.000011
47;14;0.000011
47;15;0.000011
47;16;0.000011
47;17;0.000013
47;18;0.000012
47;19;0.000011
48;0;0.000006
48;1;0.000006
48;2;0.000008
48;3;0.000008
48;4;0.000008
48;5;0.000009
48;6;0.000009
48;7;0.000009
48;8;0.000009
48;9;0.000011
48;10;0.000010
48;11;0.000010
48;12;0.000010
48;13;0.000011
48;14;0.000010
48;15;0.000011
48;16;0.000012
48;17;0.000012
48;18;0.000011
48;19;0.000012
49;0;0.000006
49;1;0.000007
49;2;0.000008
49;3;0.000009
49;4;0.000008
49;5;0.000009
49;6;0.000009
49;7;0.000009
49;8;0.000009
49;9;0.000010
49;10;0.000011
49;11;0.000010
49;12;0.000011
49;13;0.000011
49;14;0.000011
49;15;0.000012
49;16;0.000012
49;17;0.000012
49;18;0.000012
49;19;0.000013
50;0;0.000006
50;1;0.000007
50;2;0.000008
50;3;0.000008
50;4;0.000008
50;5;0.000009
50;6;0.000011
50;7;0.000010
50;8;0.000010
50;9;0.000010
50;10;0.000010
50;11;0.000010
50;12;0.000010
50;13;0.000012
50;14;0.000011
50;15;0.000011
50;16;0.000012
50;17;0.000012
50;18;0.000012
50;19;0.000012
51;0;0.000007
51;1;0.000007
51;2;0.000008
51;3;0.000008
51;4;0.000008
51;5;0.000009
51;6;0.000009
51;7;0.000010
51;8;0.000010
51;9;0.000011
51;10;0.000010
51;11;0.000010
51;12;0.000011
51;13;0.000011
51;14;0.000012
51;15;0.000012
51;16;0.000013
51;17;0.000014
51;18;0.000013
51;19;0.000013
52;0;0.000007
52;1;0.000008
52;2;0.000008
52;3;0.000009
52;4;0.000009
52;5;0.000010
52;6;0.000009
52;7;0.000010
52;8;0.000010
52;9;0.000011
52;10;0.000011
52;11;0.000011
52;12;0.000012
52;13;0.000011
52;14;0.000012
52;15;0.000011
52;16;0.000012
52;17;0.000013
52;18;0.000013
52;19;0.000014
53;0;0.000007
53;1;0.000009
53;2;0.000008
53;3;0.000008
53;4;0.000009
53;5;0.000010
53;6;0.000011
53;7;0.000010
53;8;0.000011
53;9;0.000010
53;10;0.000011
53;11;0.000011
53;12;0.000012
53;13;0.000013
53;14;0.000012
53;15;0.000014
53;16;0.000013
53;17;0.000012
53;18;0.000013
53;19;0.000013
54;0;0.000007
54;1;0.000007
54;2;0.000009
54;3;0.000009
54;4;0.000009
54;5;0.000010
54;6;0.000010
54;7;0.000010
54;8;0.000010
54;9;0.000012
54;10;0.000012
54;11;0.000012
54;12;0.000012
54;13;0.000011
54;14;0.000012
54;15;0.000012
54;16;0.000014
54;17;0.000013
54;18;0.000014
54;19;0.000013
55;0;0.000006
55;1;0.000008
55;2;0.000008
55;3;0.000010
55;4;0.000009
55;5;0.000011
55;6;0.000010
55;7;0.000010
55;8;0.000010
55;9;0.000011
55;10;0.000011
55;11;0.000011
55;12;0.000013
55;13;0.000012
55;14;0.000012
55;15;0.000013
55;16;0.000013
55;17;0.000014
55;18;0.000015
55;19;0.000013
56;0;0.000008
56;1;0.000008
56;2;0.000008
56;3;0.000008
56;4;0.000009
56;5;0.000010
56;6;0.000011
56;7;0.000011
56;8;0.000011
56;9;0.000011
56;10;0.000012
56;11;0.000012
56;12;0.000012
56;13;0.000013
56;14;0.000014
56;15;0.000012
56;16;0.000014
56;17;0.000013
56;18;0.000014
56;19;0.000014
57;0;0.000007
57;1;0.000009
57;2;0.000008
57;3;0.000010
57;4;0.000009
57;5;0.000011
57;6;0.000010
57;7;0.000011
57;8;0.000011
57;9;0.000012
57;10;0.000012
57;11;0.000012
57;12;0.000013
57;13;0.000013
57;14;0.000012
57;15;0.000013
57;16;0.000013
57;17;0.000014
57;18;0.000014
57;19;0.000015
58;0;0.000007
58;1;0.000008
58;2;0.000008
58;3;0.000009
58;4;0.000009
58;5;0.000010
58;6;0.000012
58;7;0.000011
58;8;0.000012
58;9;0.000011
58;10;0.000012
58;11;0.000012
58;12;0.000012
58;13;0.000014
58;14;0.000013
58;15;0.000014
58;16;0.000013
58;17;0.000014
58;18;0.000014
58;19;0.000015
59;0;0.000008
59;1;0.000008
59;2;0.000010
59;3;0.000009
59;4;0.000010
59;5;0.000011
59;6;0.000011
59;7;0.000012
59;8;0.000011
59;9;0.000013
59;10;0.000012
59;11;0.000012
59;12;0.000013
59;13;0.000013
59;14;0.000014
59;15;0.000013
59;16;0.000015
59;17;0.000016
59;18;0.000014
59;19;0.000030
60;0;0.000008
60;1;0.000010
60;2;0.000009
60;3;0.000010
60;4;0.000010
60;5;0.000010
60;6;0.000011
60;7;0.000011
60;8;0.000013
60;9;0.000016
60;10;0.000018
60;11;0.000012
60;12;0.000014
60;13;0.000013
60;14;0.000014
60;15;0.000013
60;16;0.000014
60;17;0.000014
60;18;0.000014
60;19;0.000014
61;0;0.000008
61;1;0.000010
61;2;0.000009
61;3;0.000009
61;4;0.000010
61;5;0.000011
61;6;0.000011
61;7;0.000011
61;8;0.000012
61;9;0.000012
61;10;0.000013
61;11;0.000012
61;12;0.000013
61;13;0.000013
61;14;0.000013
61;15;0.000015
61;16;0.000014
61;17;0.000016
61;18;0.000015
61;19;0.000015
62;0;0.000007
62;1;0.000008
62;2;0.000009
62;3;0.000010
62;4;0.000011
62;5;0.000011
62;6;0.000011
62;7;0.000012
62;8;0.000012
62;9;0.000012
62;10;0.000012
62;11;0.000012
62;12;0.000013
62;13;0.000014
62;14;0.000014
62;15;0.000014
62;16;0.000014
62;17;0.000016
62;18;0.000016
62;19;0.000015
63;0;0.000007
63;1;0.000009
63;2;0.000009
63;3;0.000009
63;4;0.000010
63;5;0.000012
63;6;0.000011
63;7;0.000012
63;8;0.000012
63;9;0.000012
63;10;0.000013
63;11;0.000026
63;12;0.000014
63;13;0.000013
63;14;0.000014
63;15;0.000014
63;16;0.000014
63;17;0.000014
63;18;0.000014
63;19;0.000015
64;0;0.000007
64;1;0.000010
64;2;0.000009
64;3;0.000026
64;4;0.000027
64;5;0.000012
64;6;0.000012
64;7;0.000011
64;8;0.000012
64;9;0.000013
64;10;0.000013
64;11;0.000013
64;12;0.000015
64;13;0.000013
64;14;0.000015
64;15;0.000014
64;16;0.000015
64;17;0.000014
64;18;0.000015
64;19;0.000015
65;0;0.000007
65;1;0.000009
65;2;0.000009
65;3;0.000010
65;4;0.000010
65;5;0.000011
65;6;0.000011
65;7;0.000012
65;8;0.000012
65;9;0.000032
65;10;0.000013
65;11;0.000014
65;12;0.000014
65;13;0.000016
65;14;0.000014
65;15;0.000016
65;16;0.000015
65;17;0.000016
65;18;0.000017
65;19;0.000016
66;0;0.000008
66;1;0.000009
66;2;0.000010
66;3;0.000010
66;4;0.000011
66;5;0.000027
66;6;0.000011
66;7;0.000012
66;8;0.000013
66;9;0.000013
66;10;0.000014
66;11;0.000014
66;12;0.000014
66;13;0.000013
66;14;0.000014
66;15;0.000014
66;16;0.000015
66;17;0.000016
66;18;0.000016
66;19;0.000017
67;0;0.000008
67;1;0.000009
67;2;0.000009
67;3;0.000010
67;4;0.000011
67;5;0.000011
67;6;0.000012
67;7;0.000013
67;8;0.000013
67;9;0.000012
67;10;0.000014
67;11;0.000015
67;12;0.000014
67;13;0.000015
67;14;0.000015
67;15;0.000014
67;16;0.000015
67;17;0.000016
67;18;0.000016
67;19;0.000016
68;0;0.000008
68;1;0.000009
68;2;0.000010
68;3;0.000009
68;4;0.000012
68;5;0.000011
68;6;0.000013
68;7;0.000012
68;8;0.000012
68;9;0.000013
68;10;0.000013
68;11;0.000014
68;12;0.000015
68;13;0.000016
68;14;0.000015
68;15;0.000016
68;16;0.000015
68;17;0.000016
68;18;0.000016
68;19;0.000016
69;0;0.000008
69;1;0.000009
69;2;0.000011
69;3;0.000010
69;4;0.000011
69;5;0.000011
69;6;0.000012
69;7;0.000012
69;8;0.000013
69;9;0.000014
69;10;0.000013
69;11;0.000014
69;12;0.000015
69;13;0.000015
69;14;0.000014
69;15;0.000015
69;16;0.000017
69;17;0.000016
69;18;0.000016
69;19;0.000017
70;0;0.000008
70;1;0.000009
70;2;0.000010
70;3;0.000012
70;4;0.000011
70;5;0.000013
70;6;0.000013
70;7;0.000013
70;8;0.000013
70;9;0.000013
70;10;0.000013
70;11;0.000014
70;12;0.000014
70;13;0.000014
70;14;0.000016
70;15;0.000015
70;16;0.000017
70;17;0.000017
70;18;0.000017
70;19;0.000019
71;0;0.000009
71;1;0.000010
71;2;0.000010
71;3;0.000010
71;4;0.000012
71;5;0.000012
71;6;0.000013
71;7;0.000029
71;8;0.000013
71;9;0.000015
71;10;0.000032
71;11;0.000015
71;12;0.000015
71;13;0.000033
71;14;0.000031
71;15;0.000017
71;16;0.000016
71;17;0.000035
71;18;0.000017
71;19;0.000033
72;0;0.000008
72;1;0.000009
72;2;0.000010
72;3;0.000010
72;4;0.000011
72;5;0.000012
72;6;0.000014
72;7;0.000031
72;8;0.000015
72;9;0.000014
72;10;0.000033
72;11;0.000015
72;12;0.000015
72;13;0.000049
72;14;0.000015
72;15;0.000017
72;16;0.000032
72;17;0.000017
72;18;0.000017
72;19;0.000037
73;0;0.000009
73;1;0.000011
73;2;0.000010
73;3;0.000029
73;4;0.000011
73;5;0.000028
73;6;0.000013
73;7;0.000013
73;8;0.000013
73;9;0.000014
73;10;0.000015
73;11;0.000015
73;12;0.000032
73;13;0.000015
73;14;0.000016
73;15;0.000016
73;16;0.000017
73;17;0.000032
73;18;0.000017
73;19;0.000018
74;0;0.000026
74;1;0.000010
74;2;0.000026
74;3;0.000011
74;4;0.000011
74;5;0.000012
74;6;0.000014
74;7;0.000032
74;8;0.000016
74;9;0.000015
74;10;0.000032
74;11;0.000015
74;12;0.000016
74;13;0.000015
74;14;0.000016
74;15;0.000017
74;16;0.000017
74;17;0.000017
74;18;0.000018
74;19;0.000018
75;0;0.000009
75;1;0.000010
75;2;0.000011
75;3;0.000011
75;4;0.000012
75;5;0.000013
75;6;0.000013
75;7;0.000014
75;8;0.000014
75;9;0.000014
75;10;0.000015
75;11;0.000034
75;12;0.000015
75;13;0.000016
75;14;0.000032
75;15;0.000016
75;16;0.000018
75;17;0.000020
75;18;0.000019
75;19;0.000038
76;0;0.000008
76;1;0.000027
76;2;0.000029
76;3;0.000028
76;4;0.000031
76;5;0.000029
76;6;0.000014
76;7;0.000015
76;8;0.000014
76;9;0.000014
76;10;0.000015
76;11;0.000015
76;12;0.000016
76;13;0.000016
76;14;0.000016
76;15;0.000016
76;16;0.000018
76;17;0.000017
76;18;0.000017
76;19;0.000018
77;0;0.000008
77;1;0.000010
77;2;0.000010
77;3;0.000012
77;4;0.000012
77;5;0.000013
77;6;0.000013
77;7;0.000014
77;8;0.000014
77;9;0.000014
77;10;0.000016
77;11;0.000015
77;12;0.000016
77;13;0.000016
